Order_ID,Order_Date,Order_Time,Delivery_Time,Hub_Region,Distance_KM,Delivery_Duration_Min,Is_On_Time,Delivery_Fee_Charged,Payout_to_Driver,Customer_Rating,Order_Value_INR,Net_Profit_INR
BLK121504,2025-01-01,16:26,16:51,North Hub,7.47,25,1,15,23.94,4.4,2434,219
BLK144313,2025-01-01,11:28,11:58,West Hub,11.32,30,1,35,43.64,4.2,283,31
BLK144367,2025-01-01,19:59,20:21,West Hub,4.41,22,1,15,17.82,4.5,414,35
BLK120381,2025-01-01,18:55,19:31,North Hub,10.93,36,0,15,30.86,4.6,2382,246
BLK142452,2025-01-01,18:12,18:34,West Hub,5.34,22,1,49,40.08,4.6,2423,215
BLK123140,2025-01-01,15:31,16:11,East Hub,9.4,40,0,25,33.8,3.3,309,31
BLK142392,2025-01-01,18:01,18:26,East Hub,2.29,25,1,15,13.58,4.5,1507,177
BLK102010,2025-01-01,14:23,14:53,North Hub,5.59,30,1,35,32.18,4.3,989,107
BLK142374,2025-01-01,12:18,12:44,West Hub,9.82,26,1,15,28.64,4.4,2311,229
BLK128378,2025-01-01,12:46,13:16,North Hub,5.61,30,1,25,26.22,4.4,1906,154
BLK120391,2025-01-01,19:33,20:04,North Hub,9.89,31,0,15,28.78,3.7,2201,256
BLK149179,2025-01-01,17:23,17:49,East Hub,3.91,26,1,15,16.82,2.3,1529,154
BLK117438,2025-01-01,10:38,11:15,East Hub,5.79,37,0,25,26.58,3.2,737,80
BLK144587,2025-01-01,17:55,18:27,North Hub,8.6,32,0,35,38.2,3.7,942,83
BLK100991,2025-01-01,09:01,09:27,North Hub,7.92,26,1,15,24.84,4.2,851,78
BLK138845,2025-01-01,08:41,09:16,East Hub,7.59,35,0,15,24.18,3.9,1005,96
BLK130986,2025-01-01,12:48,13:08,West Hub,1.8,20,1,25,18.6,4.9,198,21
BLK146874,2025-01-01,18:39,19:10,North Hub,11.9,31,0,15,32.8,3.7,1149,97
BLK125597,2025-01-01,20:45,21:08,North Hub,5.26,23,1,15,19.52,4.3,1071,128
BLK146549,2025-01-01,21:12,21:36,North Hub,1.63,24,1,25,18.26,4.6,493,56
BLK132314,2025-01-01,09:12,09:42,West Hub,9.06,30,1,15,27.12,4.0,1168,133
BLK101164,2025-01-01,09:21,09:44,South Hub,9.83,23,1,15,28.66,4.4,2010,194
BLK117784,2025-01-01,12:42,13:09,North Hub,5.33,27,1,35,31.66,4.2,630,63
BLK135875,2025-01-01,17:38,18:10,West Hub,11.53,32,0,25,38.06,3.6,1541,131
BLK118004,2025-01-01,21:11,21:41,West Hub,9.83,30,1,35,40.66,4.1,523,57
BLK141541,2025-01-01,11:33,11:53,South Hub,5.38,20,1,25,25.76,4.8,1433,169
BLK106183,2025-01-01,18:27,18:44,West Hub,2.9,17,1,15,14.8,4.8,2134,214
BLK144042,2025-01-01,13:30,14:12,East Hub,10.71,42,0,35,42.42,2.8,160,13
BLK130846,2025-01-01,09:44,10:10,West Hub,9.71,26,1,15,28.42,4.2,1927,175
BLK122267,2025-01-01,15:44,16:15,North Hub,8.11,31,0,15,25.22,3.8,1558,159
BLK141301,2025-01-01,08:47,09:08,West Hub,2.04,21,1,35,25.08,4.5,2036,200
BLK144079,2025-01-01,14:04,14:39,East Hub,7.16,35,0,15,23.32,1.4,729,82
BLK112532,2025-01-01,15:42,16:16,North Hub,9.53,34,0,15,28.06,3.5,1951,227
BLK141400,2025-01-01,13:28,13:51,North Hub,4.14,23,1,35,29.28,4.6,1265,139
BLK131016,2025-01-01,18:10,18:39,West Hub,5.52,29,1,49,40.44,4.1,552,64
BLK130970,2025-01-01,14:47,15:15,East Hub,1.9,28,1,35,24.8,4.3,1416,154
BLK106355,2025-01-01,11:59,12:32,North Hub,9.61,33,0,25,34.22,3.6,1877,151
BLK135983,2025-01-01,08:33,09:09,East Hub,9.02,36,0,49,47.44,3.1,483,43
BLK108082,2025-01-01,20:30,21:01,North Hub,7.08,31,0,35,35.16,3.9,869,103
BLK100446,2025-01-01,11:30,12:06,West Hub,11.56,36,0,25,38.12,3.5,1915,225
BLK110587,2025-01-01,12:59,13:23,South Hub,7.21,24,1,15,23.42,4.5,1537,150
BLK116609,2025-01-01,17:16,17:39,West Hub,7.53,23,1,35,36.06,4.6,2307,255
BLK107653,2025-01-01,10:41,11:07,West Hub,8.18,26,1,15,25.36,4.4,1552,171
BLK120776,2025-01-01,14:55,15:19,South Hub,9.29,24,1,15,27.58,4.4,2274,182
BLK117599,2025-01-01,12:36,13:12,North Hub,11.29,36,0,15,31.58,3.3,2437,197
BLK108503,2025-01-01,11:10,11:41,North Hub,6.79,31,0,15,22.58,3.9,1575,171
BLK106604,2025-01-01,21:41,22:17,East Hub,9.67,36,0,35,40.34,3.0,2475,266
BLK126849,2025-01-01,22:13,22:37,West Hub,3.7,24,1,35,28.4,4.5,181,16
BLK126851,2025-01-01,21:21,21:59,North Hub,11.6,38,0,25,38.2,3.2,1421,127
BLK128041,2025-01-01,12:33,12:52,West Hub,4.49,19,1,15,17.98,4.8,1477,135
BLK106023,2025-01-01,16:16,17:00,East Hub,11.35,44,0,25,37.7,2.8,480,40
BLK106552,2025-01-01,12:03,12:23,South Hub,2.4,20,1,25,19.8,4.9,1977,194
BLK131646,2025-01-01,14:50,15:14,West Hub,3.31,24,1,15,15.62,4.5,1885,210
BLK139404,2025-01-01,09:33,09:59,West Hub,7.99,26,1,15,24.98,4.1,864,95
BLK130564,2025-01-01,10:02,10:25,South Hub,7.41,23,1,25,29.82,4.4,301,35
BLK104191,2025-01-01,22:31,23:08,North Hub,10.34,37,0,15,29.68,3.3,1476,145
BLK110790,2025-01-01,09:13,09:40,West Hub,10.03,27,1,15,29.06,2.1,949,108
BLK122318,2025-01-01,13:57,14:32,East Hub,8.04,35,0,25,31.08,3.7,2402,287
BLK106030,2025-01-01,09:16,09:48,East Hub,3.22,32,0,15,15.44,3.8,2454,225
BLK121406,2025-01-01,18:02,18:25,South Hub,5.92,23,1,15,20.84,4.5,1391,153
BLK101028,2025-01-01,14:29,14:56,East Hub,5.15,27,1,25,25.3,4.3,1843,209
BLK148919,2025-01-01,10:43,11:17,East Hub,7.98,34,0,25,30.96,3.9,1501,124
BLK124346,2025-01-01,11:40,12:04,North Hub,5.52,24,1,35,32.04,4.6,552,52
BLK138313,2025-01-01,10:38,11:01,West Hub,5.91,23,1,49,41.22,4.6,1819,181
BLK134784,2025-01-01,08:38,09:04,South Hub,10.73,26,1,15,30.46,4.3,1237,136
BLK129230,2025-01-01,15:34,16:01,East Hub,2.54,27,1,15,14.08,4.1,1775,179
BLK106852,2025-01-01,19:23,19:45,North Hub,2.53,22,1,15,14.06,3.4,369,30
BLK133993,2025-01-01,10:41,10:55,South Hub,1.48,14,1,15,11.96,4.9,1365,161
BLK114649,2025-01-01,19:16,19:47,North Hub,10.35,31,0,25,35.7,3.7,1704,181
BLK134801,2025-01-01,19:11,19:37,West Hub,4.13,26,1,25,23.26,4.1,887,88
BLK140616,2025-01-01,17:14,17:44,North Hub,10.14,30,1,15,29.28,4.2,210,17
BLK136857,2025-01-01,08:42,09:25,East Hub,9.77,43,0,15,28.54,2.5,2171,213
BLK129100,2025-01-01,09:29,10:06,East Hub,6.59,37,0,25,28.18,3.1,1129,121
BLK119919,2025-01-01,18:08,18:29,West Hub,3.7,21,1,35,28.4,4.7,2114,203
BLK100755,2025-01-01,21:18,21:41,South Hub,7.03,23,1,25,29.06,4.6,1218,143
BLK124731,2025-01-01,10:56,11:32,East Hub,5.46,36,0,15,19.92,3.3,1541,162
BLK115972,2025-01-01,19:22,20:02,East Hub,10.98,40,0,15,30.96,3.1,1984,220
BLK100677,2025-01-01,20:24,20:47,North Hub,6.13,23,1,15,21.26,4.7,1167,116
BLK123669,2025-01-01,11:41,12:16,East Hub,7.33,35,0,35,35.66,3.9,1155,135
BLK136913,2025-01-01,20:49,21:07,South Hub,4.7,18,1,15,18.4,4.8,1783,180
BLK116245,2025-01-01,13:24,14:01,East Hub,5.62,37,0,15,20.24,3.5,751,81
BLK117143,2025-01-01,15:00,15:27,West Hub,7.16,27,1,15,23.32,4.3,2389,196
BLK134541,2025-01-01,16:56,17:19,West Hub,1.24,23,1,25,17.48,4.4,1607,173
BLK109684,2025-01-01,08:53,09:23,West Hub,9.4,30,1,15,27.8,4.4,1639,139
BLK134586,2025-01-01,22:19,22:56,North Hub,10.11,37,0,25,35.22,3.0,1405,140
BLK111152,2025-01-01,10:02,10:36,West Hub,9.36,34,0,15,27.72,3.9,2362,220
BLK112310,2025-01-01,15:27,15:52,South Hub,8.57,25,1,35,38.14,1.6,998,82
BLK148271,2025-01-01,20:32,21:08,West Hub,10.87,36,0,35,42.74,3.4,1169,97
BLK100648,2025-01-01,10:32,10:59,East Hub,3.07,27,1,15,15.14,4.1,1425,147
BLK117150,2025-01-01,19:51,20:19,West Hub,8.06,28,1,25,31.12,4.1,347,28
BLK103071,2025-01-01,13:09,13:32,South Hub,6.94,23,1,15,22.88,4.6,1836,152
BLK113275,2025-01-01,20:38,21:18,East Hub,11.41,40,0,25,37.82,3.5,1010,100
BLK134190,2025-01-01,12:47,13:20,West Hub,10.77,33,0,15,30.54,3.8,692,57
BLK103580,2025-01-01,10:39,11:23,East Hub,11.89,44,0,25,38.78,2.6,1521,172
BLK109633,2025-01-01,21:01,21:25,South Hub,7.43,24,1,15,23.86,4.5,409,33
BLK111669,2025-01-01,17:52,18:26,North Hub,8.63,34,0,49,46.66,3.8,1786,162
BLK123453,2025-01-01,15:18,15:46,West Hub,9.19,28,1,35,39.38,4.3,518,57
BLK131007,2025-01-01,09:57,10:22,North Hub,4.9,25,1,15,18.8,4.6,1980,174
BLK116049,2025-01-01,11:25,12:07,East Hub,8.62,42,0,35,38.24,2.7,883,99
BLK119825,2025-01-01,17:06,17:31,East Hub,1.89,25,1,15,12.78,4.6,854,91
BLK125284,2025-01-01,09:07,09:46,North Hub,11.31,39,0,35,43.62,3.0,2117,212
BLK145916,2025-01-01,08:26,08:56,West Hub,7.6,30,1,15,24.2,4.1,1254,119
BLK100848,2025-01-01,13:35,13:55,East Hub,1.38,20,1,15,11.76,4.9,1339,114
BLK145874,2025-01-01,08:55,09:25,North Hub,10.37,30,1,15,29.74,4.1,2463,212
BLK142682,2025-01-01,18:04,18:34,West Hub,7.11,30,1,15,23.22,4.7,1688,181
BLK125099,2025-01-01,19:04,19:21,West Hub,1.36,17,1,35,23.72,4.9,911,80
BLK111449,2025-01-01,10:14,10:43,West Hub,9.66,29,1,49,48.72,4.3,530,48
BLK148577,2025-01-01,10:20,10:47,East Hub,4.98,27,1,25,24.96,4.2,1583,145
BLK129838,2025-01-01,20:28,20:44,South Hub,2.65,16,1,15,14.3,4.8,2003,188
BLK128956,2025-01-01,10:18,10:48,West Hub,10.47,30,1,35,41.94,4.2,472,54
BLK142588,2025-01-01,18:36,19:03,West Hub,6.75,27,1,49,42.9,4.3,306,34
BLK107393,2025-01-01,16:46,17:12,North Hub,2.84,26,1,35,26.68,4.0,1932,177
BLK121274,2025-01-01,08:42,09:10,East Hub,3.13,28,1,15,15.26,4.4,446,37
BLK105184,2025-01-01,17:34,18:01,South Hub,7.85,27,1,15,24.7,4.2,1985,168
BLK101987,2025-01-01,08:38,09:16,East Hub,8.73,38,0,15,26.46,3.4,1954,182
BLK120670,2025-01-02,18:49,19:14,West Hub,4.14,25,1,15,17.28,4.6,559,65
BLK105356,2025-01-02,15:42,16:15,South Hub,11.02,33,0,35,43.04,3.7,497,47
BLK122270,2025-01-02,14:51,15:18,North Hub,3.17,27,1,15,15.34,4.3,2329,189
BLK137744,2025-01-02,11:24,11:41,West Hub,3.21,17,1,25,21.42,4.9,1939,198
BLK100263,2025-01-02,17:47,18:05,South Hub,3.97,18,1,35,28.94,4.8,558,52
BLK116113,2025-01-02,09:26,10:02,North Hub,9.41,36,0,25,33.82,3.4,1373,162
BLK138021,2025-01-02,11:10,11:43,East Hub,8.81,33,0,15,26.62,3.9,2428,198
BLK145720,2025-01-02,14:37,14:59,West Hub,3.16,22,1,15,15.32,4.5,1124,121
BLK143031,2025-01-02,15:34,15:56,South Hub,8.49,22,1,15,25.98,4.4,1364,137
BLK101289,2025-01-02,19:49,20:04,South Hub,2.55,15,1,15,14.1,4.9,2484,269
BLK148807,2025-01-02,08:34,08:55,North Hub,1.79,21,1,15,12.58,4.6,922,106
BLK143476,2025-01-02,18:24,18:49,South Hub,10.7,25,1,25,36.4,4.6,1985,207
BLK125625,2025-01-02,10:16,10:46,North Hub,9.87,30,1,49,49.14,1.1,1333,113
BLK104758,2025-01-02,20:50,21:09,West Hub,3.57,19,1,15,16.14,4.8,1095,114
BLK139517,2025-01-02,11:03,11:31,West Hub,6.18,28,1,35,33.36,4.2,1886,169
BLK144022,2025-01-02,09:25,09:52,East Hub,1.09,27,1,15,11.18,4.1,1542,166
BLK108139,2025-01-02,08:55,09:24,West Hub,6.75,29,1,15,22.5,4.0,2106,191
BLK108074,2025-01-02,19:04,19:35,West Hub,9.37,31,0,25,33.74,3.1,2026,162
BLK123184,2025-01-02,13:56,14:32,East Hub,5.05,36,0,15,19.1,3.4,377,43
BLK139678,2025-01-02,21:25,21:57,West Hub,10.74,32,0,25,36.48,4.0,1978,175
BLK125410,2025-01-02,11:33,12:03,East Hub,4.76,30,1,15,18.52,4.1,1457,134
BLK123186,2025-01-02,16:20,16:57,North Hub,11.32,37,0,15,31.64,3.2,411,35
BLK108019,2025-01-02,12:43,13:18,East Hub,9.23,35,0,35,39.46,3.6,831,70
BLK127570,2025-01-02,21:45,22:23,East Hub,10.98,38,0,15,30.96,4.9,385,37
BLK148432,2025-01-02,16:04,16:36,East Hub,4.55,32,0,49,38.5,3.9,2140,210
BLK141551,2025-01-02,17:44,18:08,South Hub,4.38,24,1,35,29.76,4.5,2149,255
BLK148571,2025-01-02,17:15,17:41,South Hub,6.87,26,1,25,28.74,4.1,917,75
BLK138156,2025-01-02,08:28,08:51,West Hub,7.47,23,1,15,23.94,4.6,1218,118
BLK143159,2025-01-02,14:16,14:50,East Hub,8.04,34,0,25,31.08,3.7,1088,113
BLK138778,2025-01-02,19:29,20:06,East Hub,6.85,37,0,25,28.7,3.4,1335,138
BLK108131,2025-01-02,08:00,08:23,North Hub,3.64,23,1,49,36.68,4.6,796,66
BLK123138,2025-01-02,17:07,17:34,South Hub,6.85,27,1,15,22.7,4.1,199,20
BLK109293,2025-01-02,19:38,20:01,South Hub,8.33,23,1,35,37.66,4.6,1104,130
BLK103330,2025-01-02,22:36,23:17,East Hub,11.08,41,0,15,31.16,1.5,191,21
BLK137855,2025-01-02,11:09,11:41,North Hub,6.08,32,0,25,27.16,1.2,739,72
BLK117575,2025-01-02,17:01,17:26,South Hub,11.36,25,1,15,31.72,4.6,2280,206
BLK143759,2025-01-02,15:38,16:13,North Hub,10.86,35,0,15,30.72,3.6,1927,161
BLK102910,2025-01-02,12:23,12:45,West Hub,1.79,22,1,15,12.58,4.5,2178,186
BLK132620,2025-01-02,19:54,20:11,South Hub,1.89,17,1,15,12.78,4.8,1790,146
BLK142138,2025-01-02,10:36,10:55,West Hub,4.7,19,1,25,24.4,4.8,529,47
BLK109432,2025-01-02,16:30,16:54,North Hub,2.6,24,1,15,14.2,4.4,824,91
BLK110313,2025-01-02,11:31,11:54,South Hub,9.45,23,1,25,33.9,4.6,2216,197
BLK119408,2025-01-02,21:31,22:06,West Hub,11.47,35,0,15,31.94,3.9,1335,107
BLK149656,2025-01-02,12:03,12:37,North Hub,9.78,34,0,15,28.56,3.7,1136,135
BLK126029,2025-01-02,11:01,11:26,West Hub,8.5,25,1,15,26.0,3.6,1218,127
BLK105154,2025-01-02,22:17,22:53,East Hub,6.45,36,0,25,27.9,3.3,1681,149
BLK124696,2025-01-02,08:22,08:46,South Hub,6.02,24,1,15,21.04,4.6,1210,96
BLK137687,2025-01-02,22:09,22:48,East Hub,11.19,39,0,35,43.38,3.4,431,38
BLK103152,2025-01-02,19:24,19:51,West Hub,5.72,27,1,15,20.44,4.2,1034,82
BLK145267,2025-01-02,10:19,10:36,West Hub,3.03,17,1,15,15.06,4.8,1675,197
BLK144826,2025-01-02,18:07,18:36,West Hub,11.23,29,1,25,37.46,4.4,1576,145
BLK104323,2025-01-02,13:12,13:38,West Hub,3.06,26,1,15,15.12,4.0,908,91
BLK113580,2025-01-02,15:50,16:28,East Hub,10.38,38,0,15,29.76,3.0,756,80
BLK147636,2025-01-02,11:06,11:28,West Hub,5.71,22,1,15,20.42,4.6,552,44
BLK133478,2025-01-02,11:15,11:56,East Hub,9.47,41,0,25,33.94,2.3,1228,131
BLK110493,2025-01-02,09:05,09:39,East Hub,7.54,34,0,25,30.08,3.6,1303,143
BLK115574,2025-01-02,15:43,16:16,North Hub,9.94,33,0,15,28.88,3.7,862,78
BLK119084,2025-01-02,15:23,15:46,East Hub,2.11,23,1,49,33.62,4.6,1391,137
BLK147044,2025-01-02,14:53,15:26,North Hub,8.31,33,0,15,25.62,4.0,1843,216
BLK119499,2025-01-02,09:06,09:33,West Hub,10.59,27,1,25,36.18,4.3,1498,128
BLK119095,2025-01-02,08:59,09:26,North Hub,5.99,27,1,15,20.98,4.1,1366,161
BLK126808,2025-01-02,16:08,16:35,West Hub,6.86,27,1,15,22.72,4.3,1520,141
BLK132887,2025-01-02,18:19,18:35,North Hub,1.19,16,1,35,23.38,4.8,251,22
BLK135593,2025-01-02,13:36,14:05,West Hub,7.77,29,1,35,36.54,4.3,659,75
BLK111365,2025-01-02,15:42,16:05,South Hub,10.28,23,1,35,41.56,4.7,2105,193
BLK122552,2025-01-02,17:16,17:41,South Hub,8.87,25,1,15,26.74,4.5,980,101
BLK117631,2025-01-02,20:04,20:38,North Hub,8.56,34,0,15,26.12,3.9,1696,168
BLK104249,2025-01-02,20:51,21:16,South Hub,5.58,25,1,25,26.16,4.7,2464,280
BLK108484,2025-01-02,19:58,20:29,East Hub,6.57,31,0,25,28.14,3.9,2279,272
BLK112978,2025-01-02,13:32,13:53,South Hub,7.27,21,1,15,23.54,4.7,2018,214
BLK111384,2025-01-02,16:08,16:39,West Hub,10.44,31,0,49,50.28,3.6,2487,221
BLK143821,2025-01-02,18:03,18:25,West Hub,6.67,22,1,15,22.34,4.4,641,62
BLK147144,2025-01-02,10:28,11:02,West Hub,11.97,34,0,25,38.94,4.0,2100,246
BLK110395,2025-01-02,13:37,13:56,South Hub,4.78,19,1,35,30.56,4.8,575,47
BLK114422,2025-01-02,08:53,09:20,North Hub,5.02,27,1,25,25.04,4.2,420,39
BLK121502,2025-01-02,22:46,23:11,West Hub,8.17,25,1,25,31.34,4.5,568,65
BLK128706,2025-01-02,09:23,09:42,South Hub,4.11,19,1,15,17.22,4.9,1947,223
BLK106793,2025-01-02,22:37,23:12,West Hub,11.95,35,0,25,38.9,3.9,2013,175
BLK130047,2025-01-02,14:10,14:31,North Hub,2.46,21,1,15,13.92,4.5,1229,137
BLK100206,2025-01-02,19:00,19:32,South Hub,10.17,32,0,25,35.34,3.2,1586,181
BLK130153,2025-01-02,14:41,15:09,North Hub,3.35,28,1,15,15.7,4.4,413,35
BLK140907,2025-01-02,16:12,16:40,North Hub,8.32,28,1,35,37.64,4.0,383,45
BLK112200,2025-01-02,19:14,19:35,North Hub,3.13,21,1,25,21.26,4.6,1371,158
BLK118650,2025-01-02,20:19,21:01,East Hub,10.01,42,0,25,35.02,2.5,2248,243
BLK130243,2025-01-02,15:38,16:09,West Hub,9.63,31,0,25,34.26,3.9,1282,129
BLK128383,2025-01-02,20:31,20:49,South Hub,6.39,18,1,35,33.78,4.3,2406,286
BLK118681,2025-01-02,22:40,23:02,West Hub,6.02,22,1,15,21.04,4.4,1060,89
BLK141010,2025-01-02,10:10,10:37,West Hub,7.41,27,1,49,44.22,4.4,606,56
BLK112461,2025-01-02,09:06,09:34,South Hub,10.42,28,1,49,50.24,4.1,473,41
BLK116435,2025-01-02,19:23,19:53,East Hub,2.05,30,1,15,13.1,4.4,1194,106
BLK128171,2025-01-02,15:22,16:03,East Hub,10.96,41,0,35,42.92,2.9,302,26
BLK140815,2025-01-02,12:30,12:52,West Hub,5.84,22,1,25,26.68,4.4,628,73
BLK102173,2025-01-02,22:59,23:37,East Hub,9.64,38,0,35,40.28,3.3,1091,119
BLK140196,2025-01-02,17:22,18:01,East Hub,7.67,39,0,25,30.34,3.5,1267,108
BLK136482,2025-01-02,21:57,22:32,West Hub,10.11,35,0,25,35.22,3.8,1596,159
BLK107133,2025-01-02,17:07,17:24,West Hub,3.48,17,1,15,15.96,2.9,1385,121
BLK147458,2025-01-02,18:07,18:38,West Hub,10.23,31,0,15,29.46,1.5,598,64
BLK136840,2025-01-02,18:50,19:21,West Hub,8.8,31,0,35,38.6,3.9,1997,193
BLK121091,2025-01-02,10:51,11:32,East Hub,10.73,41,0,15,30.46,2.8,1973,162
BLK140458,2025-01-02,20:04,20:34,North Hub,9.46,30,1,25,33.92,4.1,1267,116
BLK121101,2025-01-02,10:51,11:15,North Hub,2.58,24,1,15,14.16,4.7,287,30
BLK121170,2025-01-02,14:52,15:12,West Hub,5.43,20,1,35,31.86,4.9,1813,153
BLK129282,2025-01-02,21:38,22:08,West Hub,10.73,30,1,35,42.46,4.9,1774,177
BLK101823,2025-01-02,22:05,22:43,East Hub,8.91,38,0,25,32.82,4.6,1698,168
BLK129247,2025-01-02,18:20,18:59,East Hub,10.98,39,0,15,30.96,3.6,2422,257
BLK107013,2025-01-02,13:20,13:38,South Hub,3.56,18,1,15,16.12,3.2,1523,157
BLK101948,2025-01-02,22:42,23:05,North Hub,4.77,23,1,15,18.54,4.6,2189,201
BLK118499,2025-01-02,11:04,11:25,South Hub,8.08,21,1,15,25.16,4.6,2111,248
BLK129821,2025-01-02,16:50,17:14,South Hub,11.15,24,1,25,37.3,4.6,560,64
BLK100063,2025-01-02,14:44,15:16,West Hub,11.49,32,0,15,31.98,4.0,2051,191
BLK136463,2025-01-02,12:14,12:40,North Hub,5.81,26,1,15,20.62,2.1,653,77
BLK147353,2025-01-02,21:06,21:36,East Hub,4.61,30,1,25,24.22,4.4,771,68
BLK114571,2025-01-02,14:47,15:22,East Hub,8.59,35,0,35,38.18,3.8,927,79
BLK139846,2025-01-02,10:53,11:22,South Hub,9.71,29,1,49,48.82,4.1,685,61
BLK130835,2025-01-02,09:24,09:56,East Hub,6.77,32,0,15,22.54,3.7,2169,208
BLK127945,2025-01-02,21:08,21:33,West Hub,6.29,25,1,49,41.98,4.4,2129,208
BLK107834,2025-01-02,22:34,23:00,North Hub,6.91,26,1,49,43.22,4.4,1423,118
BLK141350,2025-01-02,19:34,19:54,North Hub,3.91,20,1,15,16.82,4.8,736,64
BLK146214,2025-01-02,16:52,17:29,East Hub,9.91,37,0,35,40.82,3.5,1484,135
BLK133991,2025-01-03,09:28,09:57,West Hub,5.74,29,1,15,20.48,4.1,945,112
BLK126463,2025-01-03,10:14,10:33,South Hub,3.88,19,1,49,37.16,4.9,1554,134
BLK146392,2025-01-03,14:24,15:00,West Hub,11.62,36,0,35,44.24,3.4,862,91
BLK113082,2025-01-03,10:11,10:41,West Hub,10.64,30,1,15,30.28,4.2,550,62
BLK111092,2025-01-03,12:29,12:51,North Hub,5.13,22,1,49,39.66,4.7,849,79
BLK117428,2025-01-03,17:32,17:58,West Hub,9.17,26,1,35,39.34,1.1,500,45
BLK133250,2025-01-03,20:48,21:02,South Hub,2.91,14,1,35,26.82,5.0,1595,155
BLK118117,2025-01-03,13:26,13:57,North Hub,9.54,31,0,15,28.08,3.7,2235,232
BLK117215,2025-01-03,14:40,15:10,South Hub,9.34,30,1,25,33.68,4.2,960,78
BLK132114,2025-01-03,13:06,13:29,West Hub,1.45,23,1,15,11.9,4.7,227,24
BLK137195,2025-01-03,09:26,09:54,North Hub,9.22,28,1,35,39.44,4.2,339,34
BLK113157,2025-01-03,15:51,16:29,East Hub,11.63,38,0,15,32.26,3.2,168,16
BLK102731,2025-01-03,11:05,11:44,North Hub,11.76,39,0,15,32.52,4.5,1640,140
BLK142563,2025-01-03,21:01,21:29,North Hub,5.3,28,1,25,25.6,4.4,875,75
BLK135154,2025-01-03,22:07,22:36,North Hub,6.64,29,1,25,28.28,4.2,370,33
BLK115451,2025-01-03,19:13,19:38,South Hub,5.34,25,1,15,19.68,4.7,2487,233
BLK100895,2025-01-03,21:28,21:51,West Hub,3.89,23,1,25,22.78,4.5,2375,238
BLK126598,2025-01-03,18:42,19:08,West Hub,5.21,26,1,15,19.42,4.1,1470,164
BLK113424,2025-01-03,12:26,12:58,East Hub,5.76,32,0,25,26.52,3.8,1591,164
BLK144978,2025-01-03,16:25,16:59,East Hub,8.68,34,0,25,32.36,3.9,1886,188
BLK107687,2025-01-03,19:09,19:31,North Hub,3.23,22,1,35,27.46,4.5,732,85
BLK120539,2025-01-03,15:20,15:46,South Hub,6.92,26,1,15,22.84,4.3,1851,163
BLK103930,2025-01-03,10:29,10:45,South Hub,4.34,16,1,35,29.68,4.9,2195,203
BLK102124,2025-01-03,11:22,11:45,North Hub,2.16,23,1,35,25.32,4.7,1186,130
BLK113086,2025-01-03,10:11,10:44,South Hub,11.08,33,0,25,37.16,3.8,829,95
BLK124404,2025-01-03,11:17,11:41,South Hub,4.33,24,1,15,17.66,4.5,1212,125
BLK145446,2025-01-03,19:54,20:14,West Hub,3.28,20,1,35,27.56,4.7,2491,230
BLK126571,2025-01-03,11:23,12:00,North Hub,10.95,37,0,15,30.9,3.4,797,83
BLK149915,2025-01-03,10:26,10:55,West Hub,10.53,29,1,25,36.06,4.1,267,24
BLK139153,2025-01-03,10:19,10:51,West Hub,11.65,32,0,49,52.7,3.6,2444,258
BLK129566,2025-01-03,09:20,09:54,West Hub,9.97,34,0,35,40.94,3.8,529,61
